"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
1,0.399161362857157,0.0827657480613083,0.245074348426316,0.571985150206568,1.00236645423261,1200,2003,"anti-logit Year eff","Africa"
2,0.408716128184546,0.0792451440558685,0.261962083632498,0.570447001854294,1.00072454010188,4500,2004,"anti-logit Year eff","Africa"
3,0.355190005751182,0.0787382659831131,0.213091116069131,0.518834737371639,1.00066934524648,4500,2005,"anti-logit Year eff","Africa"
4,0.395869262748687,0.0878898657327713,0.233942947349348,0.57762782650001,1.00147691851108,2500,2006,"anti-logit Year eff","Africa"
5,0.426351626592359,0.086715738641857,0.263334705825272,0.604862942706026,1.00112893483553,4300,2007,"anti-logit Year eff","Africa"
6,0.565218882634158,0.083900460477406,0.400242630850366,0.725769964345252,1.00350293922218,710,2008,"anti-logit Year eff","Africa"
7,0.543899391925027,0.0814130753646948,0.380119432609365,0.694213756902155,1.00108213164756,4500,2009,"anti-logit Year eff","Africa"
8,0.525456653227714,0.0819217970405663,0.363821114391654,0.680601863669152,1.0015509372264,2300,2010,"anti-logit Year eff","Africa"
9,0.760593548167531,0.058641818326994,0.632770872464872,0.859156108576981,1.00067123968436,4500,2011,"anti-logit Year eff","Africa"
10,0.730551183270594,0.0628917619327189,0.5957359758677,0.840916580858653,1.00232768246494,1200,2012,"anti-logit Year eff","Africa"
11,0.645027792274426,0.0739978178217055,0.48859015571769,0.777939138901222,1.00072481850693,4500,2013,"anti-logit Year eff","Africa"
12,0.731206839843257,0.0640560507584908,0.592759664627749,0.842803246224601,1.00118447084028,3900,2014,"anti-logit Year eff","Africa"
13,0.69779222427754,0.0675766330947882,0.552002232800639,0.817217047841007,1.00136509692681,2900,2015,"anti-logit Year eff","Africa"
14,0.682341005131655,0.0710010580068555,0.534140963794481,0.809891931956767,1.00121840074955,3600,2016,"anti-logit Year eff","Africa"
15,0.60501129397742,0.0763874457908976,0.446947635301755,0.746811921157274,1.00086668155951,4500,2017,"anti-logit Year eff","Africa"
16,0.543943426942705,0.0771561437132834,0.389772102528513,0.692134270589669,1.00079945070033,4500,2018,"anti-logit Year eff","Africa"
17,0.349670012672048,0.07253615016609,0.217755011543215,0.501279032767611,1.00288804712203,900,2019,"anti-logit Year eff","Africa"
18,0.253434359671242,0.062029681148769,0.14530996962721,0.384147840140029,1.00070551089168,4500,2020,"anti-logit Year eff","Africa"
1,0.429952231879914,0.0360711175469904,0.360651587488397,0.501185259751298,1.0041086330729,580,2003,"MM.p.uw","Africa"
2,0.451545646401542,0.0324372991898509,0.388687159504445,0.515192880469687,1.00135096632255,2900,2004,"MM.p.uw","Africa"
3,0.411426172910106,0.035726346407306,0.341948548682627,0.480721754722292,1.00113407383107,4300,2005,"MM.p.uw","Africa"
4,0.442222198454248,0.0399965692005089,0.366829757688039,0.52021662499455,1.00298920019012,860,2006,"MM.p.uw","Africa"
5,0.449461121110815,0.0379771976995538,0.375346820579871,0.525353681785641,1.00189675543258,1600,2007,"MM.p.uw","Africa"
6,0.546106016006713,0.032665187315142,0.481060064196556,0.610433980391755,1.00494318316979,470,2008,"MM.p.uw","Africa"
7,0.531117984755585,0.0312697682433523,0.470137163463002,0.592476036357036,1.00199235948917,1500,2009,"MM.p.uw","Africa"
8,0.522835017659386,0.0306574334111912,0.463606141297291,0.58226007090059,1.0017419737427,1900,2010,"MM.p.uw","Africa"
9,0.686078919453288,0.024992051492826,0.634677909998454,0.73386469116972,1.00102100831301,4500,2011,"MM.p.uw","Africa"
10,0.653516143564868,0.0244529497160385,0.604125199672107,0.699904499957773,1.00140994720932,2700,2012,"MM.p.uw","Africa"
11,0.606184086904169,0.026287977633589,0.554838993819699,0.65746086041814,1.00096817966294,4500,2013,"MM.p.uw","Africa"
12,0.643749689017446,0.0265797397173202,0.59026899114106,0.694339031674685,1.00239278480152,1200,2014,"MM.p.uw","Africa"
13,0.628801908393869,0.026797176834013,0.575197214449692,0.679668688141695,1.00097753765269,4500,2015,"MM.p.uw","Africa"
14,0.616460885019185,0.0278526864334924,0.560054046665741,0.668359077004474,1.00141002132156,2700,2016,"MM.p.uw","Africa"
15,0.564780950005913,0.0285821678873698,0.507700259826036,0.620050790211661,1.0007672972521,4500,2017,"MM.p.uw","Africa"
16,0.531590262638461,0.0245801407033438,0.48217005426245,0.579731005819264,1.00083154866786,4500,2018,"MM.p.uw","Africa"
17,0.41035690035372,0.0279279386710955,0.357419695786517,0.466439246858564,1.00301146399264,850,2019,"MM.p.uw","Africa"
18,0.336914648954455,0.0292664708439547,0.280312793664298,0.394402125143527,1.00079523039197,4500,2020,"MM.p.uw","Africa"
1,0.429952231879914,0.0360711175469904,0.360651587488397,0.501185259751298,1.0041086330729,580,2003,"MM.p.w","Africa"
2,0.451545646401542,0.0324372991898509,0.388687159504445,0.515192880469687,1.00135096632255,2900,2004,"MM.p.w","Africa"
3,0.411426172910106,0.035726346407306,0.341948548682627,0.480721754722292,1.00113407383107,4300,2005,"MM.p.w","Africa"
4,0.442222198454248,0.0399965692005089,0.366829757688039,0.52021662499455,1.00298920019012,860,2006,"MM.p.w","Africa"
5,0.449461121110815,0.0379771976995538,0.375346820579871,0.525353681785641,1.00189675543258,1600,2007,"MM.p.w","Africa"
6,0.546106016006713,0.032665187315142,0.481060064196556,0.610433980391755,1.00494318316979,470,2008,"MM.p.w","Africa"
7,0.531117984755585,0.0312697682433523,0.470137163463002,0.592476036357036,1.00199235948917,1500,2009,"MM.p.w","Africa"
