"year.index","mean","sd","X2.5.","X97.5.","Rhat","n.eff","year","Source","Region"
1,0.0972976748302068,0.0815003154837894,0.0110277976479184,0.319282185459258,1.00158373844199,2200,2003,"anti-logit Year eff","Asia"
2,0.0978808587902901,0.0696401474533586,0.0165979748924027,0.278971161484972,1.00120332739094,3700,2004,"anti-logit Year eff","Asia"
3,0.269916537426014,0.1228497365201,0.0815773330482773,0.55002489515768,1.00394313508977,610,2005,"anti-logit Year eff","Asia"
4,0.227243339895165,0.0958824722874092,0.0810096108478914,0.452310550879087,1.00103623205546,4500,2006,"anti-logit Year eff","Asia"
5,0.161800607065136,0.0813455758999064,0.0482080910820588,0.35840189883501,1.00834087782474,260,2007,"anti-logit Year eff","Asia"
6,0.227304975128851,0.0946117098426618,0.0840596329829033,0.442622004896253,1.00072474483566,4500,2008,"anti-logit Year eff","Asia"
7,0.246400322950009,0.0959286619023201,0.0925047749573985,0.458989671463621,1.00095984058377,4500,2009,"anti-logit Year eff","Asia"
8,0.329665885037029,0.110097700904535,0.142561273646828,0.566801971676174,1.00129606956773,3200,2010,"anti-logit Year eff","Asia"
9,0.159498152039699,0.0706126772772594,0.055502287823595,0.322913742220652,1.00460183080901,600,2011,"anti-logit Year eff","Asia"
10,0.19322836581026,0.0819380614631041,0.0707799160163915,0.383844569559282,1.00707398974408,320,2012,"anti-logit Year eff","Asia"
11,0.196275855432733,0.0799025006243948,0.0749621673832762,0.382197371994817,1.00324932683319,780,2013,"anti-logit Year eff","Asia"
12,0.276170351773814,0.105089880511064,0.106498847742705,0.51016386310818,1.0006888607069,4500,2014,"anti-logit Year eff","Asia"
13,0.409794384148594,0.122298082371427,0.192487105717852,0.667693473287577,1.00078789020024,4500,2015,"anti-logit Year eff","Asia"
14,0.259576582878606,0.0942316353726356,0.105590065935946,0.471885463232557,1.00240593988661,1200,2016,"anti-logit Year eff","Asia"
15,0.353740327884177,0.108500916902229,0.165384970700818,0.589266668656963,1.00220174133555,1300,2017,"anti-logit Year eff","Asia"
16,0.334507224055696,0.103081120515241,0.159765391094364,0.558822305978438,1.00072565359919,4500,2018,"anti-logit Year eff","Asia"
17,0.270848515609298,0.0947675984909215,0.117217603158982,0.481937813374051,1.00220029649013,1300,2019,"anti-logit Year eff","Asia"
1,0.173867507243002,0.0778217455376702,0.0534929465785111,0.356131000649421,1.00143222316775,2600,2003,"MM.p.uw","Asia"
2,0.175718042628869,0.0665880384626073,0.0638246177144192,0.318542227628684,1.00144655513791,2600,2004,"MM.p.uw","Asia"
3,0.333098162106092,0.0759402264133943,0.193327650131788,0.489618969835541,1.00359862684,680,2005,"MM.p.uw","Asia"
4,0.301479383774013,0.0586332364817645,0.19298655349349,0.425401822244609,1.00069561201242,4500,2006,"MM.p.uw","Asia"
5,0.258082638456721,0.0565876391620934,0.152597704715482,0.376078892669533,1.00620622024856,360,2007,"MM.p.uw","Asia"
6,0.303202347013447,0.0559977408587062,0.194297137460238,0.417427380751855,1.00095282645205,4500,2008,"MM.p.uw","Asia"
7,0.325355518522625,0.0517968948779423,0.226571099911713,0.428673695397986,1.00074456330048,4500,2009,"MM.p.uw","Asia"
8,0.37751260081694,0.0546470202635375,0.271909907541264,0.486552613477825,1.00242895123332,1100,2010,"MM.p.uw","Asia"
9,0.243498889763635,0.0478108996611761,0.155743809157439,0.341566708606861,1.00209908526642,1400,2011,"MM.p.uw","Asia"
10,0.276720120438395,0.0502498880132079,0.183054384909573,0.381276142399537,1.00564376145833,400,2012,"MM.p.uw","Asia"
11,0.279985534050936,0.0477474028678151,0.191690986853021,0.375612754832686,1.00256612684048,1100,2013,"MM.p.uw","Asia"
12,0.335131502554059,0.0601499945135373,0.219196059407486,0.456313685189189,1.00111497062626,4400,2014,"MM.p.uw","Asia"
13,0.42903584991207,0.0601479136479005,0.315746586795781,0.548214934647696,1.00072796921994,4500,2015,"MM.p.uw","Asia"
14,0.315293254420688,0.0468587695210238,0.223822083158306,0.407238961966694,1.00206705969872,1400,2016,"MM.p.uw","Asia"
15,0.397399181104089,0.050538118608402,0.298978616617495,0.498122206416378,1.00192280975559,1600,2017,"MM.p.uw","Asia"
16,0.381113070601435,0.0464842603504516,0.293596076177197,0.473658136826943,1.00154040287154,2300,2018,"MM.p.uw","Asia"
17,0.333926515543257,0.0492211138969697,0.236938363147413,0.431224101554439,1.00141671521425,2700,2019,"MM.p.uw","Asia"
1,0.173867507243002,0.0778217455376702,0.0534929465785111,0.356131000649421,1.00143222316775,2600,2003,"MM.p.w","Asia"
2,0.175718042628869,0.0665880384626073,0.0638246177144192,0.318542227628684,1.00144655513791,2600,2004,"MM.p.w","Asia"
3,0.333098162106092,0.0759402264133943,0.193327650131788,0.489618969835541,1.00359862684,680,2005,"MM.p.w","Asia"
4,0.301479383774013,0.0586332364817645,0.19298655349349,0.425401822244609,1.00069561201242,4500,2006,"MM.p.w","Asia"
5,0.258082638456721,0.0565876391620934,0.152597704715482,0.376078892669533,1.00620622024856,360,2007,"MM.p.w","Asia"
